Instrument,Total Assets,Date
5073651375,6709992.70937756,2019-12-31T00:00:00Z
5073651375,9685470.80287716,2020-12-31T00:00:00Z
5073651385,1416116.70719,2016-12-31T00:00:00Z
5073651385,1760692.09211649,2017-12-31T00:00:00Z
5073651385,1714494.07897022,2018-12-31T00:00:00Z
5073651385,2695593.7300647,2019-12-31T00:00:00Z
5073651385,2743445.36541578,2020-12-31T00:00:00Z
5073651386,1814171.58735672,2016-12-31T00:00:00Z
5073651386,2955647.61788717,2017-12-31T00:00:00Z
5073651386,4537256.76317038,2018-12-31T00:00:00Z
5073651386,4339743.0055591,2019-12-31T00:00:00Z
5073651386,3631891.25543548,2020-12-31T00:00:00Z
5073651420,1156420.05325923,2016-12-31T00:00:00Z
5073651420,19104179.3590837,2017-12-31T00:00:00Z
5073651420,21147047.5881788,2018-12-31T00:00:00Z
5073651420,19241319.6026611,2019-12-31T00:00:00Z
5073651420,2414810.15166882,2020-12-31T00:00:00Z
5073651468,11809.6561306009,2016-12-31T00:00:00Z
5073651468,2563787.0110881,2017-12-31T00:00:00Z
5073651468,2923009.24907683,2018-12-31T00:00:00Z
5073651468,1969151.55381391,2019-12-31T00:00:00Z
5073651468,2209048.8347964,2020-12-31T00:00:00Z
5073651858,1306703.71656825,2016-12-31T00:00:00Z
5073651858,1571950.77372974,2017-12-31T00:00:00Z
5073651858,1760681.58403463,2018-12-31T00:00:00Z
5073651858,1601772.53257997,2019-12-31T00:00:00Z
5073651858,1858613.41353944,2020-12-31T00:00:00Z
5073651899,32731321.185838,2020-12-31T00:00:00Z
5073651899,32731321.185838,2020-12-31T00:00:00Z
5073651918,1132800.74099803,2016-12-31T00:00:00Z
5073651918,1405263.79919581,2017-12-31T00:00:00Z
5073651918,2020095.61623855,2018-12-31T00:00:00Z
5073651918,1789847.80825663,2019-12-31T00:00:00Z
5073651918,1636064.77109782,2020-12-31T00:00:00Z
5073651967,3317124.00138937,2016-12-31T00:00:00Z
5073651967,4593883.27037894,2017-12-31T00:00:00Z
5073651967,6797897.8318497,2018-12-31T00:00:00Z
5073651967,8314727.05732252,2019-12-31T00:00:00Z
5073651967,7444129.68209002,2020-12-31T00:00:00Z
5073652044,16562463.8184555,2016-12-31T00:00:00Z
5073652044,18644084.3182649,2017-12-31T00:00:00Z
5073652044,17821199.9490664,2018-12-31T00:00:00Z
5073652044,20076209.7876606,2019-12-31T00:00:00Z
5073652044,19602117.0682801,2020-12-31T00:00:00Z
5073652072,3936.55204353363,2016-12-31T00:00:00Z
5073652072,6160350.91994639,2017-12-31T00:00:00Z
5073652072,5230995.40440113,2018-12-31T00:00:00Z
5073652072,5589059.50970564,2019-12-31T00:00:00Z
5073652072,5354340.80602478,2020-12-31T00:00:00Z
5073652101,5769.36129776692,2015-12-31T00:00:00Z
5073652101,442283.20018525,2016-12-31T00:00:00Z
5073652101,634336.541976362,2017-12-31T00:00:00Z
5073652101,906617.893896072,2018-12-31T00:00:00Z
5073652101,2477102.88890914,2019-12-31T00:00:00Z
5073652101,1796243.83590389,2020-12-31T00:00:00Z
5073652273,1043186.29153641,2016-12-31T00:00:00Z
5073652273,6351529.18240526,2017-12-31T00:00:00Z
5073652273,7033234.16717793,2018-12-31T00:00:00Z
5073652273,6733345.48437073,2019-12-31T00:00:00Z
5073652273,6637755.16151972,2020-12-31T00:00:00Z
5073652295,2301609.35510015,2016-12-31T00:00:00Z
5073652295,3147800.6579749,2017-12-31T00:00:00Z
5073652295,2909581.30274231,2018-12-31T00:00:00Z
5073652295,2705618.33591543,2019-12-31T00:00:00Z
5073652295,3032560.41688525,2020-12-31T00:00:00Z
5073665798,707537.339353942,2016-12-31T00:00:00Z
5073665798,2130498.35506275,2017-12-31T00:00:00Z
5073665798,1904684.73265653,2018-12-31T00:00:00Z
5073665798,2112457.85108904,2019-12-31T00:00:00Z
5073665798,2544911.92483009,2020-12-31T00:00:00Z
5073665865,1349426.88433484,2016-12-31T00:00:00Z
5073665865,2197758.01145364,2017-12-31T00:00:00Z
5073665865,1463414.63414634,2018-12-31T00:00:00Z
5073665865,4115670.28160029,2019-12-31T00:00:00Z
5073665865,3709882.37214237,2020-12-31T00:00:00Z
5073665871,5111265.48570105,2016-12-31T00:00:00Z
5073665871,6032898.7449738,2017-12-31T00:00:00Z
5073665871,5963049.99594846,2018-12-31T00:00:00Z
5073665871,6616125.9455026,2019-12-31T00:00:00Z
5073665871,7176698.25948076,2020-12-31T00:00:00Z
5073666464,2313774.06322711,2018-12-31T00:00:00Z
5073666464,2313774.06322711,2018-12-31T00:00:00Z
5073666464,1975303.01649503,2019-12-31T00:00:00Z
5073666464,1472504.92544795,2020-12-31T00:00:00Z
5073666482,4669799.85414472,2018-12-31T00:00:00Z
5073666482,4669799.85414472,2018-12-31T00:00:00Z
5073666482,3987059.14517452,2019-12-31T00:00:00Z
5073666482,2728290.14094359,2020-12-31T00:00:00Z
5073666674,18823665.597833,2018-12-31T00:00:00Z
5073666674,15665155.3813907,2019-12-31T00:00:00Z
5073666674,19415824.385922,2020-12-31T00:00:00Z
5073666678,1807795.1543635,2018-12-31T00:00:00Z
5073666678,1807795.1543635,2018-12-31T00:00:00Z
5073666678,1342385.85619247,2019-12-31T00:00:00Z
5073666678,1280150.15330092,2020-12-31T00:00:00Z
5073666772,21909430.8171368,2018-12-31T00:00:00Z
