Instrument,Sales per Employee,Date
5083279147,751631.190211609,2015-12-31T00:00:00Z
5083279147,600514.502959125,2016-12-31T00:00:00Z
5083279147,691228.058272457,2017-12-31T00:00:00Z
5083279147,734239.167904612,2018-12-31T00:00:00Z
5083279147,748137.649000336,2019-12-31T00:00:00Z
5083279147,917924.875482296,2020-12-31T00:00:00Z
5083279159,,
5083279203,,
5083279273,,
5083279457,,
5083279464,,2013-12-31T00:00:00Z
5083279464,,2014-12-31T00:00:00Z
5083279464,422777.873813532,2015-12-31T00:00:00Z
5083279464,244583.695772021,2016-12-31T00:00:00Z
5083279464,298105.17278243,2017-12-31T00:00:00Z
5083279464,,2018-12-31T00:00:00Z
5083279464,,2019-12-31T00:00:00Z
5083279464,152747.903950557,2020-12-31T00:00:00Z
5083279478,,
5083279587,,
5083279986,,
5083279993,,2019-12-31T00:00:00Z
5083279993,50795.1352029255,2020-12-31T00:00:00Z
5083280256,,
5083280278,,
5083280549,,
5083280581,,
5083280645,,
5083280869,,
5083281067,,
5083281251,,
5083281279,,
5083281574,,
5083281589,,
5083281594,,
5083281849,,
5083281879,,
5083282541,,
5083282749,,
5083282861,,
5083282982,,
5083283668,,
5083283739,,
5083284069,,
5083284478,,
5083284839,,
5083285171,,
5083285575,,
5083285702,,
5083287987,,
5083288216,,
5083289422,,
5083290123,,2016-12-31T00:00:00Z
5083290123,,2017-12-31T00:00:00Z
5083290123,1108105.4754834,2018-12-31T00:00:00Z
5083290123,1097571.69669084,2019-12-31T00:00:00Z
5083290123,1094507.00274884,2020-12-31T00:00:00Z
5083290245,,
5083290779,,
5083291679,,
5083291697,,
5083291698,,
5083291937,,
5083291946,,
5083292009,,
5083292026,,
5083292205,,
5083292322,,
5083292523,,
5083292537,,
5083292574,,
5083292797,,2018-12-31T00:00:00Z
5083292797,427021.324529708,2019-12-31T00:00:00Z
5083292797,,2020-12-31T00:00:00Z
5083292807,,
5083292854,,
5083292975,,
5083293077,,
5083293090,,
5083293095,,2017-12-31T00:00:00Z
5083293095,,2018-12-31T00:00:00Z
5083293095,550484.17948762,2019-12-31T00:00:00Z
5083293095,706594.227595047,2020-12-31T00:00:00Z
5083293166,,
5083293202,,
5083293263,,
5083293432,,
5083293521,,
5083293603,,
5083293693,,
5083293914,,
5083293934,,
5083294051,,
5083294197,,
5083294276,,
5083294323,,2017-12-31T00:00:00Z
5083294323,,2018-12-31T00:00:00Z
5083294323,156406.985859982,2019-12-31T00:00:00Z
5083294323,183462.663131035,2020-12-31T00:00:00Z
5083294613,,2012-12-31T00:00:00Z
5083294613,,2013-12-31T00:00:00Z
5083294613,560550.89663783,2014-12-31T00:00:00Z
5083294613,864407.170793821,2015-12-31T00:00:00Z
5083294613,1435588.62859543,2016-12-31T00:00:00Z
5083294613,1403662.86837541,2017-12-31T00:00:00Z
5083294613,,2018-12-31T00:00:00Z
5083294613,,2019-12-31T00:00:00Z
5083294613,853938.450923713,2020-12-31T00:00:00Z
5083294785,,
5083294786,,
5083294806,,
5083294930,,
5083295070,,
5083295555,,2018-12-31T00:00:00Z
5083295555,,2019-12-31T00:00:00Z
5083295555,317771.444089944,2020-12-31T00:00:00Z
5083295752,,
5083295836,,
5083295977,,
5083296020,,
5083296050,,
5083296332,,
5083296625,,
5083296715,,
5083296969,,
5083297040,,
5083297207,,
5083297223,,
5083297674,,
5083297969,,
5083298126,,
5083298239,,
5083298434,,
5083298958,,
5083299041,,
5083299372,,
5083299383,,
5083299606,,
5083299928,,
5083300215,,
5083300216,,
5083300583,,
5083300865,,
5083301261,,
5083303293,,
5083303326,,
5083303455,,
5083304359,,
5083304540,,
5083304983,,
5083305024,,
5083305055,,2018-09-30T00:00:00Z
5083305055,,2019-09-30T00:00:00Z
5083305055,147289.877398643,2020-09-30T00:00:00Z
5083305064,,
5083305144,,
5083305208,,
5083305221,,
5083305331,,
5083305497,,
5083305602,,
5083305697,,
5083305774,,
5083305818,,
5083306131,,
5083306137,,
5083306255,,
5083306630,,
5083306824,,
5083306846,,2017-12-31T00:00:00Z
5083306846,,2018-12-31T00:00:00Z
5083306846,413013.120845644,2019-12-31T00:00:00Z
5083306846,436943.557712141,2020-12-31T00:00:00Z
5083306959,,
5083307103,,
5083307128,,
5083307216,,2017-12-31T00:00:00Z
5083307216,,2018-12-31T00:00:00Z
5083307216,30919.2352830806,2019-12-31T00:00:00Z
5083307216,30932.6962437823,2020-12-31T00:00:00Z
5083307491,,
