Instrument,Cost of Operating Revenue,Date
5040937137,3259742.13704196,2017-12-31T00:00:00Z
5040937137,3380440.15709955,2018-12-31T00:00:00Z
5040937137,2656977.7731277,2019-12-31T00:00:00Z
5040937137,,2020-12-31T00:00:00Z
5040937241,2630031.2465787,2011-12-31T00:00:00Z
5040937241,3079215.76068618,2012-12-31T00:00:00Z
5040937241,3251251.47473771,2013-12-31T00:00:00Z
5040937241,2259544.18499512,2014-12-31T00:00:00Z
5040937241,1454425.81353501,2015-12-31T00:00:00Z
5040937241,1530703.95577586,2016-12-31T00:00:00Z
5040937241,1237071.95935222,2017-12-31T00:00:00Z
5040937241,3155634.98367194,2018-12-31T00:00:00Z
5040937241,1579922.99622174,2019-12-31T00:00:00Z
5040937241,1083858.09695659,2020-12-31T00:00:00Z
5040937274,6304176.67808465,2011-12-31T00:00:00Z
5040937274,6056898.11172587,2012-12-31T00:00:00Z
5040937274,6965093.91837834,2013-12-31T00:00:00Z
5040937274,6654004.27259234,2014-12-31T00:00:00Z
5040937274,6026774.6342243,2015-12-31T00:00:00Z
5040937274,5663151.76537785,2016-12-31T00:00:00Z
5040937274,5814056.55374846,2017-12-31T00:00:00Z
5040937274,5181956.0135224,2018-12-31T00:00:00Z
5040937274,5549749.66944961,2019-12-31T00:00:00Z
5040937274,5624927.01410123,2020-12-31T00:00:00Z
5040937450,6146210.40400016,2011-12-31T00:00:00Z
5040937450,4464200.30447439,2012-12-31T00:00:00Z
5040937450,5238042.21562595,2013-12-31T00:00:00Z
5040937450,5236616.20782892,2014-12-31T00:00:00Z
5040937450,5188500.32549171,2015-12-31T00:00:00Z
5040937450,5150334.9542829,2016-12-31T00:00:00Z
5040937450,6820668.60721254,2017-12-31T00:00:00Z
5040937450,3914905.84841047,2018-12-31T00:00:00Z
5040937450,5144361.22031107,2019-12-31T00:00:00Z
5040937450,5128327.5947517,2020-12-31T00:00:00Z
5040937492,1985657.5086277,2011-12-31T00:00:00Z
5040937492,2294655.05801093,2012-12-31T00:00:00Z
5040937492,2368990.34847959,2013-12-31T00:00:00Z
5040937492,2600640.49300051,2014-12-31T00:00:00Z
5040937492,1501783.83720451,2015-12-31T00:00:00Z
5040937492,715774.521830412,2016-12-31T00:00:00Z
5040937492,1065952.75440217,2017-12-31T00:00:00Z
5040937492,1063520.31717829,2018-12-31T00:00:00Z
5040937492,1514633.16182064,2019-12-31T00:00:00Z
5040937492,1383566.93896092,2020-12-31T00:00:00Z
5040937497,3680995.76528522,2010-12-31T00:00:00Z
5040937497,4600499.69039058,2011-12-31T00:00:00Z
5040937497,3875650.70957433,2012-12-31T00:00:00Z
5040937497,3759829.02744172,2013-12-31T00:00:00Z
5040937497,3736620.12446783,2014-12-31T00:00:00Z
5040937497,3374725.30873221,2015-12-31T00:00:00Z
5040937497,3569696.01271834,2016-12-31T00:00:00Z
5040937497,3584662.75054582,2017-12-31T00:00:00Z
5040937497,4695206.0811228,2018-12-31T00:00:00Z
5040937497,4851580.67371101,2019-12-31T00:00:00Z
5040937497,4045002.78754957,2020-12-31T00:00:00Z
5040937520,4543138.63385085,2011-12-31T00:00:00Z
5040937520,3766889.4978852,2012-12-31T00:00:00Z
5040937520,2846739.85796879,2013-12-31T00:00:00Z
5040937520,0.0,2014-12-31T00:00:00Z
5040937520,0.0,2015-12-31T00:00:00Z
5040937520,0.0,2016-12-31T00:00:00Z
5040937520,0.0,2017-12-31T00:00:00Z
5040937524,2910403.51359065,2011-12-31T00:00:00Z
5040937524,3081108.75645926,2012-12-31T00:00:00Z
5040937524,2854574.60928305,2013-12-31T00:00:00Z
5040937524,2269571.74794628,2014-12-31T00:00:00Z
5040937524,2241861.71890586,2015-12-31T00:00:00Z
5040937524,2110736.35633341,2016-12-31T00:00:00Z
5040937536,5144089.51591663,2011-12-31T00:00:00Z
5040937536,5728893.57141022,2012-12-31T00:00:00Z
5040937536,5516175.88728222,2013-12-31T00:00:00Z
5040937536,4101750.75002284,2014-12-31T00:00:00Z
5040937536,2931971.29216852,2015-12-31T00:00:00Z
5040937536,2996695.03020741,2016-12-31T00:00:00Z
5040937536,3521688.94546867,2017-12-31T00:00:00Z
5040937536,2923328.10587942,2018-12-31T00:00:00Z
5040937536,,2019-12-31T00:00:00Z
5040937536,,2020-12-31T00:00:00Z
5040937540,4757572.49007414,2011-12-31T00:00:00Z
5040937540,4750214.75673284,2012-12-31T00:00:00Z
5040937540,4841705.99153277,2013-12-31T00:00:00Z
5040937540,4371380.77604296,2014-12-31T00:00:00Z
5040937540,3770618.49872529,2015-12-31T00:00:00Z
5040937540,3272350.45295029,2016-12-31T00:00:00Z
5040937540,3446120.37937608,2017-12-31T00:00:00Z
5040937540,4115976.12114249,2018-12-31T00:00:00Z
5040937540,4130548.86139643,2019-12-31T00:00:00Z
5040937540,4175978.75124399,2020-12-31T00:00:00Z
5040937553,6444988.24367128,2011-12-31T00:00:00Z
5040937553,7776426.63577306,2012-12-31T00:00:00Z
5040937553,6809420.81617758,2013-12-31T00:00:00Z
5040937553,6389149.27654896,2014-12-31T00:00:00Z
5040937553,2973735.84847548,2015-12-31T00:00:00Z
5040937553,4157117.36105369,2016-12-31T00:00:00Z
5040937553,3507883.14974021,2017-12-31T00:00:00Z
5040937553,5102634.71327032,2018-12-31T00:00:00Z
5040937553,5003089.48803552,2019-12-31T00:00:00Z
5040937553,3791583.49623203,2020-12-31T00:00:00Z
5040937555,3516000.46254127,2011-12-31T00:00:00Z
5040937555,3710960.07731721,2012-12-31T00:00:00Z
5040937555,4292932.75817298,2013-12-31T00:00:00Z
5040937555,4228766.54740422,2014-12-31T00:00:00Z
5040937555,3999329.16421579,2015-12-31T00:00:00Z
5040937555,3555871.52977922,2016-12-31T00:00:00Z
5040937555,4287910.60839784,2017-12-31T00:00:00Z
5040937555,3821933.90578943,2018-12-31T00:00:00Z
5040937555,4694953.31836203,2019-12-31T00:00:00Z
5040937555,3815901.50903522,2020-12-31T00:00:00Z
5040937614,2107527.4169146,2011-12-31T00:00:00Z
5040937614,2778745.70434247,2012-12-31T00:00:00Z
5040937614,2168863.54860443,2013-12-31T00:00:00Z
5040937649,255891.068426464,2011-12-31T00:00:00Z
5040937649,3307407.79660358,2012-12-31T00:00:00Z
5040937649,336042.703109514,2013-12-31T00:00:00Z
5040937649,324542.87075268,2014-12-31T00:00:00Z
5040937649,171852.624122453,2016-12-31T00:00:00Z
5040937649,62489.3911919475,2017-12-31T00:00:00Z
5040937649,50052.3553528637,2018-12-31T00:00:00Z
5040937649,,2019-12-31T00:00:00Z
5040937649,,2020-12-31T00:00:00Z
5040937677,,
5040937708,1154243.06507872,2015-12-31T00:00:00Z
5040937708,2752025.51750048,2016-12-31T00:00:00Z
5040937708,1431927.44467749,2017-12-31T00:00:00Z
5040937708,2342991.33705837,2018-12-31T00:00:00Z
5040937708,1834257.61246017,2019-12-31T00:00:00Z
5040937708,1545473.7084138,2020-12-31T00:00:00Z
5040937711,4522231.33286908,2011-12-31T00:00:00Z
5040937711,5529440.65313854,2012-12-31T00:00:00Z
5040937711,5827351.77100299,2013-12-31T00:00:00Z
5040937711,5905120.40457304,2014-12-31T00:00:00Z
5040937711,6486060.45432616,2015-12-31T00:00:00Z
5040937711,6555069.26810492,2016-12-31T00:00:00Z
5040937711,7743840.3689494,2017-12-31T00:00:00Z
5040937711,9680396.07851601,2018-12-31T00:00:00Z
5040937711,9739218.62530556,2019-12-31T00:00:00Z
5040937711,10937666.2059439,2020-12-31T00:00:00Z
5040937814,325224.681938662,2011-12-31T00:00:00Z
5040937814,446402.821394957,2012-12-31T00:00:00Z
