Instrument,Cost of Revenues - Total,Date
5081876236,17708563.8850367,2019-12-31T00:00:00Z
5081876236,60448645.2869732,2020-12-31T00:00:00Z
5081876243,,
5081876248,,
5081876249,,
5081876252,,
5081876256,,
5081876257,,
5081876276,,
5081876278,,
5081876283,,
5081876284,,
5081876287,,
5081876300,7658899.40202705,2020-12-31T00:00:00Z
5081876306,11125175.1234773,2019-06-30T00:00:00Z
5081876306,2037848.04489563,2020-12-31T00:00:00Z
5081876312,,
5081876313,,
5081876321,,
5081876323,,
5081876329,,
5081876336,,
5081876338,8728227.28743841,2019-12-31T00:00:00Z
5081876338,6398988.38208162,2020-12-31T00:00:00Z
5081876348,,
5081876356,,
5081876357,,
5081876358,,
5081876363,,
5081876373,,
5081876375,,
5081876379,,
5081876381,,
5081876382,,
5081876387,,
5081876392,,
5081876393,,
5081876401,,
5081876402,,
5081876407,7393647.33063923,2020-12-31T00:00:00Z
5081876450,,
5081876451,,
5081876455,,
5081876480,21374353.6559337,2020-12-31T00:00:00Z
5081876481,,
5081876491,8627379.07261837,2020-12-31T00:00:00Z
5081876517,14148.2817670851,2017-12-31T00:00:00Z
5081876517,22976600.221245,2018-12-31T00:00:00Z
5081876517,30962687.612443,2019-12-31T00:00:00Z
5081876517,25842072.4153971,2020-12-31T00:00:00Z
5081876519,,
5081876520,,
5081876525,24526872.3952648,2020-12-31T00:00:00Z
5081876528,,
5081876532,,
5081876541,,
5081876544,,
5081876553,,
5081876562,,
5081876571,3367202.78565907,2018-12-31T00:00:00Z
5081876571,8410142.32186397,2019-12-31T00:00:00Z
5081876571,6410944.88245447,2020-12-31T00:00:00Z
5081876573,,
5081876575,4008626.4914268,2018-12-31T00:00:00Z
5081876575,4593721.38952728,2019-12-31T00:00:00Z
5081876575,5368086.2574022,2020-12-31T00:00:00Z
5081876581,,
5081876586,,
5081876587,,
5081876596,,
5081876604,,
5081876613,,
5081876621,,
5081876622,,
5081876624,,
5081876627,,
5081876628,,
5081876642,,
5081876646,3316234.09307796,2017-12-31T00:00:00Z
5081876646,4627305.49445486,2018-12-31T00:00:00Z
5081876646,6973260.04322737,2019-12-31T00:00:00Z
5081876646,9590721.41994651,2020-12-31T00:00:00Z
5081876648,,
5081876651,,
5081876654,,
5081876656,,
5081876661,,
5081876664,,
5081876666,,
5081876673,,2017-12-31T00:00:00Z
5081876673,,2018-12-31T00:00:00Z
5081876673,,2019-12-31T00:00:00Z
5081876673,12414364.7997429,2020-12-31T00:00:00Z
5081876677,,
5081876679,4054675.34942935,2019-12-31T00:00:00Z
5081876679,3613204.1222756,2020-12-31T00:00:00Z
5081876684,,
5081876697,3516519.37235983,2019-12-31T00:00:00Z
5081876697,4059057.15565523,2020-12-31T00:00:00Z
5081876700,,
5081876702,,
5081876703,,
5081876705,,
5081876713,,
5081876718,,
5081876719,,
5081876720,,
5081876722,2607681.72216355,2018-12-31T00:00:00Z
5081876722,4950521.30530046,2019-12-31T00:00:00Z
5081876723,,
5081876725,,
5081876728,,
5081876734,,
5081876736,,
5081876740,,
5081876741,,
5081876745,,
5081876761,,
5081876771,28510461.6282702,2019-12-31T00:00:00Z
5081876771,33386635.6048548,2020-12-31T00:00:00Z
5081876773,,
5081876775,,
5081876776,,
5081876778,,
5081876779,,
5081876784,,
5081876792,,
5081876805,,
5081876838,,
5081876841,,
5081876842,349456.435318085,2018-12-31T00:00:00Z
5081876842,1366663.56145764,2019-12-31T00:00:00Z
5081876842,2062879.06698427,2020-12-31T00:00:00Z
5081876856,,
5081876861,,
5081876868,,
5081876873,,
5081876891,12705110.9896817,2019-12-31T00:00:00Z
5081876891,2495028.06375576,2020-12-31T00:00:00Z
5081876894,328636.492649662,2018-12-31T00:00:00Z
5081876894,3674986.85476535,2019-12-31T00:00:00Z
5081876894,4530082.41063821,2020-12-31T00:00:00Z
5081876896,,
5081876898,,
5081876899,,
5081876900,,
5081876901,,
5081876907,1047241.70939567,2018-12-31T00:00:00Z
5081876907,5794030.73422234,2019-12-31T00:00:00Z
5081876907,7565351.01628531,2020-12-31T00:00:00Z
5081876920,6432667.92306947,2018-12-31T00:00:00Z
5081876920,9252837.95540575,2019-12-31T00:00:00Z
5081876920,10220790.1580522,2020-12-31T00:00:00Z
5081876931,22337380.5159598,2018-12-31T00:00:00Z
5081876931,24246135.719933,2019-12-31T00:00:00Z
5081876941,,
5081876944,,
5081876953,,
5081876955,,
5081876963,,
5081876975,,
5081876978,,
5081876980,,
5081876981,,
5081876990,,
5081876994,,
5081877000,,
5081877001,,
5081877004,,
5081877005,,
5081877015,,
5081877019,,
5081877021,,
5081877026,,
5081877030,,
5081877033,,
5081877039,16565594.0129437,2020-12-31T00:00:00Z
5081877045,,
5081877055,,
5081877064,,
5081877085,11715407.2421202,2019-12-31T00:00:00Z
5081877085,4721279.64418906,2020-12-31T00:00:00Z
5081877088,5871087.23207637,2020-12-31T00:00:00Z
5081877094,,
5081877097,,
5081877103,10570183.7251933,2020-12-31T00:00:00Z
5081877106,,
5081877111,,
5081877115,,
5081877116,,
5081877123,227.928280485539,2019-12-31T00:00:00Z
5081877123,6713632.44556607,2020-12-31T00:00:00Z
5081877133,,
5081877140,,
5081877147,,
5081877167,,
5081877172,,
5081877174,,
5081877180,,
5081877195,10008005.4086748,2018-12-31T00:00:00Z
5081877195,24648811.1227859,2019-12-31T00:00:00Z
5081877195,29147906.8567052,2020-12-31T00:00:00Z
5081877198,,
5081877205,,
5081877210,,
5081877211,0.0,2018-12-31T00:00:00Z
5081877211,2506935.40965995,2019-12-31T00:00:00Z
5081877211,11127653.8756526,2020-12-31T00:00:00Z
5081877216,,
5081877219,,
5081877224,13584989.6373737,2017-12-31T00:00:00Z
5081877224,13761334.6044038,2018-12-31T00:00:00Z
5081877224,16140689.9803443,2019-12-31T00:00:00Z
5081877224,13535604.3521335,2020-12-31T00:00:00Z
5081877239,,
5081877251,,
5081877253,,
5081877264,,
5081877281,,
5081877283,,
5081877284,,
5081877293,,
5081877294,,
5081877304,,
5081877317,,
5081877319,43797170.0325452,2019-12-31T00:00:00Z
5081877319,59293290.2067349,2020-12-31T00:00:00Z
5081877321,,
5081877322,,
5081877336,,
5081877345,,
5081877347,,
5081877348,,
5081877354,,
5081877365,,
5081877366,,
5081877375,,
5081877413,,
5081877420,1608028.85042326,2018-12-31T00:00:00Z
5081877420,6740195.60755458,2019-12-31T00:00:00Z
5081877420,21023799.6101905,2020-12-31T00:00:00Z
5081877425,,
5081877427,,
5081877436,,
5081877439,,
5081877468,5283067.1792556,2019-12-31T00:00:00Z
5081877468,6031396.95480316,2020-12-31T00:00:00Z
5081877475,74715746.5529014,2020-12-31T00:00:00Z
5081877488,,
5081877490,,
5081877492,,
5081877495,,
5081877499,,
5081877507,,
5081877512,,
5081877516,,
5081877521,,
5081877528,,
5081877536,,
5081877552,,
5081877556,,
5081877561,,
5081877565,,
5081877566,,
5081877572,,
5081877576,,
5081877579,,
5081877580,,
5081877583,,
5081877591,,
5081877592,,
5081877594,,
5081877596,,
5081877597,,
5081877616,,
5081877630,,
5081877631,,
5081877633,,
5081877639,,
5081877650,,
5081877651,18531644.0294904,2019-12-31T00:00:00Z
5081877651,22357227.5194852,2020-12-31T00:00:00Z
5081877672,,
5081877675,,
5081877685,,
5081877697,,
5081877715,4172672.83129879,2019-12-31T00:00:00Z
5081877715,4816696.27162056,2020-12-31T00:00:00Z
5081877727,,
5081877729,,
5081877738,,
5081877771,,
5081877801,,
5081877806,,
5081877807,,
5081877808,,
5081877825,,
5081877826,,
5081877884,,
5081877888,,
5081877893,,
5081877894,,
5081877907,,
5081877910,,
5081877923,,
5081877929,,
5081877939,,
5081877946,26050763.3398675,2020-12-31T00:00:00Z
5081877970,,
5081878035,,
5081878048,,
5081878052,,
5081878061,,
5081878063,,
5081878070,4512269.4730202,2018-12-31T00:00:00Z
5081878070,6617994.73227413,2019-12-31T00:00:00Z
5081878070,23701704.7096811,2020-12-31T00:00:00Z
5081878089,12267416.588912,2018-12-31T00:00:00Z
5081878089,12839298.172292,2019-12-31T00:00:00Z
5081878089,8206253.90498164,2020-12-31T00:00:00Z
5081878123,,
5081878124,,
5081878125,12658999.1155084,2019-12-31T00:00:00Z
5081878125,7817215.72433598,2020-12-31T00:00:00Z
5081878142,,
5081878155,,
5081878196,,
5081878237,,
5081878281,,
5081878304,,
5081878309,,
5081878310,,
5081878355,,
5081878365,,
5081878366,,
5081878367,6549486.22763058,2020-12-31T00:00:00Z
5081878431,,
5081878438,,
5081878448,,
5081878456,,
5081878460,,
5081878468,,2019-12-31T00:00:00Z
5081878468,6938857.85095871,2020-12-31T00:00:00Z
5081878485,,
5081878519,,
5081878575,,
5081878576,,
5081878582,,
5081878627,,
5081878628,,
5081878637,,
5081878676,,
5081878678,,
5081878688,,
5081878689,24550662.3933333,2019-09-30T00:00:00Z
5081878718,,
5081878751,,
5081878752,,
5081878774,,
5081878797,,
5081878801,,
5081878828,,
5081878852,48537042.371536,2020-03-31T00:00:00Z
5081878852,75078006.5402261,2021-03-31T00:00:00Z
5081878898,,
5081878905,,
5081878907,11111169.4891225,2019-12-31T00:00:00Z
5081878907,18084563.5152982,2020-12-31T00:00:00Z
5081878928,,
5081878940,,
5081878949,35615993.7522021,2019-12-31T00:00:00Z
5081878949,35395826.0451982,2020-12-31T00:00:00Z
5081878962,13083404.1883147,2019-12-31T00:00:00Z
5081878962,18003460.9431324,2020-12-31T00:00:00Z
5081878988,,
5081879006,,
5081879020,,
5081879078,,
5081879092,,
5081879129,,
5081879146,,
5081879172,,
5081879194,1053103.16127459,2019-12-31T00:00:00Z
5081879194,4903863.05174947,2020-12-31T00:00:00Z
5081879208,,
5081879226,11588302.6447734,2020-12-31T00:00:00Z
5081879257,0.0,2019-12-31T00:00:00Z
5081879257,10201478.1761586,2020-12-31T00:00:00Z
5081879278,,
5081879292,927432.504086403,2019-12-31T00:00:00Z
