Instrument,Total Assets,Date,Total Fixed Assets - Net,Revenue from Business Activities - Total,Intangible Assets - Gross - Total,Full-Time Employees (Pvt),Salaries and Wages from CSR reporting,Revenue from Goods & Services (ASR),Operating Profit before Non-Recurring Income/Expense,Sales per Employee,Labor & Related Expenses - Total,"Employees Full-Time/Full-Time Equiv Period End (BUS,ASR)",Cost of Operating Revenue,Market Capitalization,International/Export Sales - Geographic Segment,Cost of Revenues - Total,Stock Based Compensation - Mean,Labor Expenses including Stock-Based Compensation in COGS,Intangible Assets - excluding Goodwill - Gross - Total (ASR)
5060884717,104788.094829067,2009,,,,,,,,,,,,,,,,,
5060884717,102422.540298308,2010,,,,,,,,,,,,,,,,,
5060884717,104688.245954693,2011,,,,,,,,,,,,,,,,,
5060884717,95347.5432763353,2012,,,,1.0,,,,,,,,,,,,,
5060884717,105698.16092586,2013,,,,1.0,,,,,,,,,,,,,
5060884717,98600.7984031936,2014,,,,1.0,,,,,,,,,,,,,
5060884717,93751.5231155179,2015,,,,1.0,,,,,,,,,,,,,
5060884717,96019.7224558453,2016,,,,1.0,,,,,,,,,,,,,
5060884717,114866.36436703,2017,,,,1.0,,,,,,,,,,,,,
5060884717,115682.298834755,2018,,,,1.0,,,,,,,,,,,,,
5060884717,118964.587583795,2019,,,,,,,,,,,,,,,,,
5060884717,135650.537371764,2020,,,,,,,,,,,,,,,,,
5060884720,272774.019873055,2006,,,,,,,,,,,,,,,,,
5060884720,277886.600043767,2007,,,,,,,,,,,,,,,,,
5060884720,340392.34844355,2008,,,,,,,,,,,,,,,,,
5060884720,337538.29525282,2009,,,,,,,,,,,,,,,,,
5060884720,384916.273158986,2010,,,,,,,,,,,,,,,,,
5060884720,438316.181229773,2011,,,,,,,,,,,,,,,,,
5060884720,477282.783636147,2015,,,,7.0,,,,,,,,,,,,,
5060884720,474242.966778806,2016,,,,7.0,,,,,,,,,,,,,
5060884720,594001.427526061,2017,,,,7.0,,,,,,,,,,,,,
5060884720,655994.919258648,2018,,,,,,,,,,,,,,,,,
5060884720,586394.64834204,2019,,,,,,,,,,,,,,,,,
5060884720,872627.540302882,2020,,,,,,,,,,,,,,,,,
5060884728,203216.96804037,2016,,,,,,,,,,,,,,,,,
5060884728,261189.117213085,2017,,,,,,,,,,,,,,,,,
5060884728,511142.467198826,2018,,,,,,,,,,,,,,,,,
5060884728,799449.62222272,2019,,,,,,,,,,,,,,,,,
5060884731,52063.0501049076,2006,,,,,,,,,,,,,,,,,
5060884731,59422.9046611715,2007,,,,,,,,,,,,,,,,,
5060884731,43111.3627150865,2008,,,,,,,,,,,,,,,,,
5060884731,41766.1913760522,2009,,,,,,,,,,,,,,,,,
5060884731,43438.806768778,2010,,,,,,,,,,,,,,,,,
5060884731,46748.9579288026,2011,,,,1.0,,,,,,,,,,,,,
5060884731,56094.4911690496,2016,,,,,,,,,,,,,,,,,
5060884731,69890.0565012416,2017,,,,,,,,,,,,,,,,,
5060884731,71069.2609413708,2018,,,,,,,,,,,,,,,,,
5060884731,74629.172925588,2019,,,,,,,,,,,,,,,,,
5060884731,88077.1006350757,2020,,,,,,,,,,,,,,,,,
5060884738,55798.0450798745,2007,,,,,,,,,,,,,,,,,
5060884738,75160.9007422317,2008,,,,,,,,,,,,,,,,,
5060884738,73954.8187596633,2009,,,,4.0,,,,,,,,,,,,,
5060884738,85713.4372282791,2010,,,,4.0,,,,,,,,,,,,,
5060884738,86495.0161812298,2011,,,,4.0,,,,,,,,,,,,,
5060884738,82710.3652100486,2012,,,,4.0,,,,,,,,,,,,,
5060884738,75173.3375484509,2013,,,,4.0,,,,,,,,,,,,,
5060884738,9279.65595508302,2015,,,,4.0,,,,,,,,,,,,,
5060884738,14794.7014297729,2016,,,,4.0,,,,,,,,,,,,,
5060884738,57041.806120368,2017,,,,4.0,,,,,,,,,,,,,
5060884738,50379.0944123314,2018,,,,4.0,,,,,,,,,,,,,
5060884738,18219.8282626729,2019,,,,4.0,,,,,,,,,,,,,
5060884738,24788.1167562286,2020,,,,,,,,,,,,,,,,,
5060884740,49200.8682915243,2006,,,,,,,,,,,,,,,,,
5060884740,56043.0665985849,2007,,,,,,,,,,,,,,,,,
5060884740,56658.4196474749,2008,,,,,,,,,,,,,,,,,
5060884740,59932.1565595831,2009,,,,,,,,,,,,,,,,,
5060884740,57732.1650725704,2010,,,,,,,,,,,,,,,,,
5060884740,57488.7508090615,2011,,,,,,,,,,,,,,,,,
5060884740,60299.8205615368,2012,,,,,,,,,,,,,,,,,
5060884740,54297.8356012641,2015,,,,,,,,,,,,,,,,,
5060884740,53716.6211101766,2016,,,,,,,,,,,,,,,,,
5060884740,62843.5839301352,2017,,,,,,,,,,,,,,,,,
5060884740,61199.0778970548,2018,,,,,,,,,,,,,,,,,
5060884740,60049.4361365827,2019,,,,,,,,,,,,,,,,,
5060884742,14540.5241037782,2015,,,,,,,,,,,,,,,,,
5060884742,16657.4897134152,2017,,,,,,,,,,,,,,,,,
5060884742,16906.4593081934,2018,,,,,,,,,,,,,,,,,
5060884742,17370.7373943457,2019,,,,,,,,,,,,,,,,,
5060884743,28562.6051303617,2016,,,,,,,,,,,,,,,,,
