Instrument,Labor & Related Expenses - Total,Date
5083669527,204368.600380077,2020
5083669534,547580.699353842,2012
5083669534,655941.842631439,2013
5083669622,787546.453055545,2008
5083669622,606491.61472307,2009
5083669622,0.0,2010
5083669622,15478.9366153747,2011
5083669626,0.0,2015
5083669626,1898.72653116866,2016
5083669632,117474.709713227,2015
5083669632,157903.339680269,2016
5083669632,166944.070967434,2017
5083669632,165294.074925914,2018
5083669660,1563397.9229439,2014
5083669660,1586720.26618717,2015
5083669660,1645819.16928772,2016
5083669660,1829305.2279632,2017
5083669735,120844.771058985,2013
5083669735,624602.324096003,2014
5083669735,497009.537984815,2015
5083669795,146309.072611028,2013
5083669795,132112.660240378,2014
5083669795,86648.779784345,2015
5083669795,92616.9975783097,2016
5083669797,335958.672534435,2009
5083669805,1730125.40232954,2009
5083669816,739555.699539173,2010
5083669915,1356041.47385266,2010
5083669915,1538063.6230056,2011
5083669915,1580323.64092035,2012
5083669915,1391177.66324713,2013
5083669919,2927544.31573457,2008
5083669919,1357844.36943708,2009
5083670053,139767.696300031,2017
5083670053,291813.402262826,2018
5083670053,342899.826266984,2019
5083670053,283977.758241599,2020
5083670073,298985.549015031,2010
5083697563,99932.5721132425,2020
5083700112,77423.2132533765,2009
5083700112,187349.617609942,2010
5083700112,109631.965485355,2015
5083700112,141371.712926378,2016
5083700193,931804.058248612,2009
5083700193,1065991.13421835,2010
5083700193,1221716.85626455,2011
5083700193,1313812.33642574,2013
5083700208,190940.717434642,2008
5083700208,372989.944871305,2009
5083700208,420164.941211755,2010
5083700208,491070.175191018,2011
5083700208,351497.062374648,2012
5083700239,768106.264615779,2017
5083700239,799276.71736307,2018
5083700239,555370.814636472,2019
5083700240,239080.836332661,2008
5083700240,244668.530557114,2009
5083700240,268557.348567655,2010
5083700241,71800.3798515639,2012
5083700241,161807.547047813,2013
5083700241,160265.899350783,2014
5083700242,188903.76823196,2010
5083700242,220404.017175933,2011
5083700242,237591.931402604,2012
5083700278,177965.050931738,2017
5083700278,261719.455706766,2018
5083700284,5092.35204036367,2014
5083700303,999137.022597033,2012
5083700303,1096104.83534566,2013
5083700303,496053.694833315,2014
5083700349,259773.829610434,2010
5083700349,284415.307435221,2011
5083700349,131217.376575515,2012
5083700356,234583.852434031,2019
5083700356,258017.898262899,2020
5083700377,528637.230126527,2018
5083700377,440011.909347648,2019
5083700377,958785.593709906,2020
5083700380,154428.196642094,2010
5083700380,243634.56214001,2011
5083700380,132159.169997294,2012
5083700380,175404.724695772,2013
5083700380,201588.854775952,2014
5083700381,253873.080095832,2020
