Instrument,Company Common Name,Country ISO Code of Headquarters,Organization Status Code
5082934395,Assawa-Angkur and Star Rail Joint Venture,TH,Act
5082934401,BSU 03 Joint Venture,TH,Act
5082934402,Baan Khai Phranakhon Joint Venture,TH,Act
5082934407,Billion Mass Thai Engineering Joint Venture,TH,Act
5082934410,Bina Puri K P V Joint Venture,TH,Act
5082934412,Boonsongserm Transport Co Ltd,TH,Act
5082934415,C S and Kongman Joint Venture,TH,Act
5082934420,Capital G and NS Gas LPG Joint Venture,TH,Act
5082934421,CCVK Joint Venture,TH,Act
5082934423,CFS Joint Venture,TH,Act
5082934428,CHALOEMPONTANIT LIMITED PARTNERSHIP,TH,Act
5082934430,Charoenaree 1978 Joint Venture,TH,Act
5082934431,Chatchol Import & Export Partnership Ltd,TH,Act
5082934436,Chiangmai Siriubon Partnership and Auto Transfer Service Ltd Co,TH,Act
5082934444,Ckae Consortium Group Joint Venture,TH,Act
5082934447,Comsis-Ttec Joint Venture,TH,Act
5082934448,Consortium STV Connect Asean,TH,Act
5082934452,D Aman Construction Co Ltd,TH,Act
5082934453,D P Joint Venture,TH,Act
5082934455,DD Joint Venture,TH,Act
5082934457,Dee Lighting International and P2M Enterprise Joint Venture,TH,Act
5082934458,Joint Venture of Demco Public and LCB Co Ltd Corp,TH,Act
5082934470,Easy Sourcing Joint Venture,TH,Act
5082934474,Electrowatt Joint Venture,TH,Act
5082934477,Excellence Thai Com 2553 Joint Venture,TH,Act
5082934478,Exeo WTN JV,TH,Act
5082934482,First Floor Consultants Joint Venture,TH,Act
5082934486,Free Scale and Dha Consulting Joint Venture,TH,Act
5082934489,G P F M Joint Venture,TH,Act
5082934492,Yai Tyre Center-Prachongkij Karnchang Joint Venture,TH,Act
5082934495,Green World 99 and Isanant Joint Venture,TH,Act
5082934496,Ground Tech Right Tunnelling Joint Venture,TH,Act
5082934507,Hitachi Cable & Kyowa Exeo JV Ltd Corp,TH,Act
5082934510,Joint Venture of Home Grand Group and Watchara Construction Partne Co Ltd,TH,Act
5082934512,Hometel International Thanant Yingcharoen Electric Joint Venture,TH,Act
5082934515,Imperial Technology and Dreammaker Creation Joint Venture Co Ltd,TH,Act
5082934519,Intellicom Rubber International Thailand Co Ltd,TH,Act
5082934523,Iron Rail 30 Civil Joint Venture,TH,Act
5082934526,JGEngineering and Sorawee Construction 1999 Co Ltd,TH,Act
5082934544,Joint Venture of Siam Civil Supply Partnership and Niyomphum Partnership Ltd,TH,Act
5082934547,Jointventure Bigsumpaothong,TH,Act
5082934548,JS Joint Venture,TH,Act
5082934549,Jundee Pokkaphand Limited Partnership,TH,Act
5082934554,K T Joint Venture,TH,Act
5082934555,KKB Banpong Company Limited,TH,Act
5082934556,KSuwattana Bangkla Joint Venture,TH,Act
5082934557,Kabinett Ingenieur Arvuthngoen Chuklin Joint Venture,TH,Act
5082934566,Keen Consultants & Ecco Engineering Advisory Joint Venture Co Ltd,TH,Act
5082934569,Khanrawee-Thai Vijitprapa Joint Venture,TH,Act
5082934583,Kitrungroeng Construction KRCEngineering Jointventure,TH,Act
5082934591,Korya Group & Promruangsee Construction Joint Venture,TH,Act
5082934592,KP Joint Venture,TH,Act
5082934594,KPV-Econ Joint Venture,TH,Act
5082934595,KR Joint Venture,TH,Act
5082934597,Kubota Joint Venture,TH,Act
5082934601,Lanna Sriwichai Technology Joint Venture,TH,Act
5082934608,Loxley Piya Telecom Joint Venture,TH,Act
5082934609,Loxley Paka Engineering Joint Venture,TH,Act
5082934613,M P S Consultant Joint Venture,TH,Act
5082934619,Makthai Development Partnership Ltd,TH,Act
5082934620,Marine Fmi Joint Venture,TH,Act
5082934635,NKD Joint Venture,TH,Act
5082934640,Nanthawan Sungnoen and Satcoms Group Jointventure,TH,Act
5082934652,Nithithanasarn and Thaikreang Civil Engineering Co Ltd,TH,Act
5082934655,Nontasorns Co Ltd,TH,Act
5082934656,Lampang NP2001 Sale and Service Co Ltd,TH,Act
5082934657,NPK Lucky Lion Co Ltd,TH,Act
5082934659,Numkrai and Katam Joint Venture,TH,Act
5082934662,O C Joint Venture,TH,Act
5082934663,OGAS Joint Venture,TH,Act
5082934672,P E T Joint Venture,TH,Act
5082934679,PSFarm Group International Import Export Partnership Ltd,TH,Act
5082934680,PS.Inter and SAC Joint Venture,TH,Act
5082934691,PATTHEERA TRANSPORT LIMITED PARTNERSHIP,TH,Act
5082934698,Philipp Holzmann Thai UTM Engineering Sino-Thai Joint Venture,TH,Act
5082934705,Phraram 2 Civil Engineering and Three Sakul Co Ltd,TH,Act
5082934714,PKL Energy Supply Co Ltd,TH,Act
5082934715,Plan Entech Joint Venture,TH,Act
5082934724,Pornpiboon 1111 Kradarnchanoun 32 Joint Venture,TH,Act
5082934725,Pornpiboon 1111 Natchanon Civil Joint Venture,TH,Act
5082934727,Power Team Techcon Joint Venture,TH,Act
5082934732,Premium and Kaewsang Joint Venture,TH,Act
5082934735,Pruesaji Construction Partnership and Siam GBuilding 92 Partnership Joi Ltd,TH,Act
5082934739,PTK Joint Venture,TH,Act
5082934748,Rightman Three-Scape Joint Venture,TH,Act
5082934749,Rightman-Seri Civil Joint Venture,TH,Act
5082934753,RTN Joint Venture,TH,Act
5082934757,S K S C Joint Venture,TH,Act
5082934761,SCR91 Joint Venture,TH,Act
5082934768,ST Electricity Joint Venture,TH,Act
5082934770,Saengmit Electric and K2C Engineering Joint Venture,TH,Act
5082934771,Saengmit Sahasoonchai Joint Venture,TH,Act
5082934772,Saengmitr Electric and Dee Lighting Joint Venture,TH,Act
5082934773,Saimun Kanyotha Co Ltd,TH,Act
5082934778,Samai Niyom Khonsong Co Ltd,TH,Act
5082934788,Sanyou Import Export Co Ltd,TH,Act
5082934789,Saowalak Civil Partnership and Thitiphan Civil Partnership Joint Venture Ltd,TH,Act
5082934793,Sato Kogyo Bangkok and Sricholathon Co Ltd,TH,Act
5082934798,Joint Venture of Seesang Karnyotah 1979 China International Water & Ele Co Ltd,TH,Act
5082934799,See Sang Karn Yotah 1979 See Sang Yothakarn Partnership Joint Ve Co Ltd,TH,Act
5082934803,Set in Motorway Joint Venture,TH,Act
5082934805,SG-BM-BS Joint Venture,TH,Act
5082934806,SG-BS-WML Joint Venture,TH,Act
5082934807,SG-World Multilink Joint Venture,TH,Act
5082934814,Siam Telecom and Bangkok Western Joint Venture,TH,Act
5082934826,Sithiyont Joint Venture,TH,Act
5082934829,SKCP Joint Venture,TH,Act
5082934830,SKJT Joint Venture,TH,Act
5082934834,SKMP Joint Venture,TH,Act
5082934835,SKNNL Joint Venture,TH,Act
5082934836,SKNT Joint Venture,TH,Act
5082934837,SKRT Joint Venture,TH,Act
5082934841,Somboon Civil 2007 Partnership Joint Venture Ltd,TH,Act
5082934844,Songchai Pranakhorn Joint Venture,TH,Act
5082934851,Srichonlathon and Singhasila Concrete Joint Venture Co Ltd,TH,Act
5082934854,Srinakharin Joint Venture,TH,Act
5082934859,SRST Joint Venture,TH,Act
