Instrument,Organization Ultimate Parent,Ultimate Parent Id,Country ISO2 Code of Ultimate Parent Headquarters
5062228240,Wudi Yongli Salt Industry Co Ltd,5062228240.0,CN
5062228270,Xinba Erhuyou Qi Xianda Foodstuff Co Ltd,5062228270.0,CN
5062228271,Hebei Xingbai Pharmaceutical Group Co Ltd,5071488163.0,CN
5062228369,Want Want Holdings Ltd,4295887587.0,SG
5062228387,Pingyu Kangbo Huixin Grease CoLTD,5062228387.0,CN
5062228399,Hongyuan County Guozhong Foodstuff Co Ltd,5062228399.0,CN
5062228448,Yunnan Dehong Liliang Biology Products Co Ltd,5062195483.0,CN
5062228541,China Vanke Co Ltd,4295863798.0,CN
5062228568,Jiangsu Tianya Investment Co Ltd,5074547395.0,CN
5062228765,Fujian Minzhong Organic Food Co Ltd,5058568544.0,CN
5062228856,Sichuan Tequ Investment Group Co Ltd,5000915264.0,CN
5062229000,ORIENSSPES PTE. LTD.,5082039940.0,SG
5062229128,"HAINAN WANWEI BIO-PHARMACEUTICAL TECHNOLOGY CO., LTD.",5062229128.0,CN
5062229227,Guangshui Taifeng Cereal Trade Co Ltd,5062229227.0,CN
5062229230,Hunan Changjiang Lianxin Food Co Ltd,5062229230.0,CN
5062229327,Heze Jiahong Dehydration Foodstuff Co Ltd,5062229327.0,CN
5062229333,Shandong LuAn Chinese Herb Slices Co Ltd,5062397436.0,CN
5062229772,Hubei Jinhe Grain & Oil Food Co Ltd,5062229772.0,CN
5062229785,Kunming Jianguo Saba Ham Co Ltd,5062229785.0,CN
5062229827,Gulin County Shunchun Meat Foodstuff Co Ltd,5062229827.0,CN
5062229850,"HUNAN HUAQIANG FOODGRAIN & COOKING OIL DEVELOPMENT CO., LTD.",5062229850.0,CN
5062230566,Luohe Hengda Food Industry CoLTD,5084862726.0,CN
5062231021,ORIENSSPES PTE. LTD.,5082039940.0,SG
5062231116,Wulan Haote Jingu Grain & Oil Rice Industry Processing Co Ltd,5062231116.0,CN
5062231129,Guilin Risheng Food CoLTD,5062231129.0,CN
5062231174,Jilin Lvjiazu Industry Co Ltd,5062231174.0,CN
5062231187,Huangshan Kaishen Tea Industry Co Ltd,5062231187.0,CN
5062231321,Zhangjiajie Yunwuwang Tea Industry Co Ltd,5062231321.0,CN
5062232201,Silver Fountain International Limited,5085577151.0,VG
5062232215,Guangdong Xindadi Bio-Tech Co Ltd,5062232215.0,CN
5062232847,Jilin Yushuqian Wine Industry Co Ltd,5062232847.0,CN
5062233355,John Swire & Sons Ltd,4295896847.0,GB
5062233419,Shandong Huaxin Trading Co Ltd,5076390628.0,CN
5062233517,Xinzheng Taida Investment Co. Ltd,5068665176.0,CN
5062233587,Shandong Changyi Aoli Salination CoLTD,5062233587.0,CN
5062233681,New Hope Liuhe Co Ltd,4295865441.0,CN
5062233689,Jiangsu Yilinyuan Flower and Tree Co Ltd,5062233689.0,CN
5062233845,Zhonghui Accountant Firm Co Ltd,5062233845.0,CN
5062233923,Hebei Guangyu Starch Sugar Industry Co Ltd,5062233923.0,CN
5062233955,State-owned Assets Supervision and Administration Commission of Hunan People's Government,5000045256.0,CN
5062234035,Zhongzheng International Co Ltd,4295871656.0,HK
5062234111,Jinan Chuanmi Foodstuff Co Ltd,5062234111.0,CN
5062234115,Citic Corp Ltd,5055471423.0,CN
5062234182,Hebei Sansheng Pharmaceutical Group Co Ltd,5064655537.0,CN
5062234212,Shanghai Pehchaolin Daily Chemical Co Ltd,5064634975.0,CN
